"Part";"Value";"Device";"Package";"Description";"";
"R15";"2K2";"RESISTOR0603";"0603";"Generic Resistor Package";"";
"R16";"1K5";"RESISTOR0603";"0603";"Generic Resistor Package";"";
"R17";"2K2";"RESISTOR0603";"0603";"Generic Resistor Package";"";
"R18";"2K2";"RESISTOR0603";"0603";"Generic Resistor Package";"";
"R19";" 10R";"RESISTOR0603";"0603";"Generic Resistor Package";"";
"R20";"10R";"RESISTOR0603";"0603";"Generic Resistor Package";"";
"R21";"10K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R22";"1.1K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R23";"75K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R24";"75K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R25";"6.8K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R26";"1.1K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R27";"6.8K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R28";"1.1K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R29";"75K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R30";"75K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R31";"1.1K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"R32";"10K";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";
"RPI_HEADER";"";"FE20-2";"FE20-2";"FEMALE HEADER";"";
"U$4";"8POS_TERMINAL";"8POS_TERMINAL";"8POS_TERMINAL";"";"";
"U$5";"8POS_TERMINAL";"8POS_TERMINAL";"8POS_TERMINAL";"";"";
"USB";"BOARDMOUNT_HEADER_6POS";"BOARDMOUNT_HEADER_6POS";"BOARDMOUNT_HEADER";"";"";
